610193|Footlight Parade|1933|United States of America|VHS|Film|Footlight parade|No US rating|28432|NONE
612767|Eyes of Laura Mars|1978|United States of America|VHS|Film|Eyes of Laura Mars|No US rating|29143|NONE
611057|The Sorrow and the Pity|1969|France|VHS|Film|Sorrow and the pity|No US rating|42611|NONE
642602|The Bible|2013|NONE|VHS|Film|Bible|NONE|211845|NONE
642967|Ghosts on the Loose|1943|United States of America|VHS|Film|Ghosts on the loose|No US rating|90695|You'll yell with glee when these happy-go-lucky hooligans invade the shivery domain of the Man of a Thousand Horrors! It's Chill-arious!
628730|Lonely Are the Brave|1962|United States of America|VHS|Film|Lonely are the brave|PG|43002|Life can never cage a man like this!
632413|The Silent Scream|1979|United States of America|VHS|Film|Silent scream|No US rating|28380|Terror so sudden there is no time to scream.
632838|Witness to the Holocaust|-1|NONE|VHS|Film|Witness to the Holocaust|NONE|NONE|NONE
632978|Young and Innocent|1937|United Kingdom|VHS|Film|Young and innocent|No US rating|2762|NONE
634127|The Cotton Club|1984|United States of America|VHS|Film|Cotton Club|R|2148|It was the jazz age. It was an era of elegance and violence. The action was gambling. The stakes were life and death.
628202|Cartas De Mamá|-1|NONE|VHS|Film|Cartas de mamá|NONE|NONE|NONE
626214|Yol Yol|1982|Turkey|VHS|Film|Yol|No US rating|52556|NONE
631405|Más Allá De La Ciudad Letrada|-1|NONE|VHS|Film|Más allá de la ciudad letrada|NONE|NONE|NONE
653354|Silent Pioneers|-1|NONE|VHS|Film|Silent pioneers|NONE|NONE|NONE
678072|The /'I Have a Dream/' Speech|-1|NONE|VHS|Film|/'I have a dream/' speech|NONE|NONE|NONE
661412|Dial /'M/' for Murder|1954|United States of America|VHS|Film|Dial /'M/' for murder|PG|521|...is that you, darling?
654825|Tibetan Medicine|-1|NONE|VHS|Film|Tibetan medicine|NONE|NONE|NONE
659798|The Trial|2010|NONE|VHS|Film|Trial|NONE|49057|NONE
678069|Nudo Di Donna|1981|NONE|VHS|Film|Nudo di donna|NONE|58201|NONE
658727|The Night Porter|1974|Italy|VHS|Film|Night porter|No US rating|26648|NONE
