PLV8|Devil DVD|3 days|Lilly
PLX2|Closed Reserve|3 hours|Lilly
PLVL|Limited Circulation|3 hours|Lilly
PLV1|Regular DVD Loan|3 days|Lilly
PLVM|Regular DVD Loan|3 days|Lilly Locked Media
PLAV|ADF Video|3 days|Lilly Locked Media
PLV2|Regualar VHS Loan|3 days|Lilly
PSLV1|LSC DVD|3 days|LSC
PSLV2|LSC VHS|3 days|LSC
PSLVL|LSC Limited Circulation VHS|3 hours|LSC
