3193565|2
3277992|2
3277996|2
3247968|1
3259328|4
3235120|1
3136806|2
3441546|1
3441544|1
3426896|3
3397604|5
3391004|1
3431441|7
3431439|6
3422534|3
3441535|2
3441536|3
3584807|1
3587508|2
3745592|2
3587835|1
3589216|4
3589638|2
3600426|3
3600432|2
3460186|1
3495291|4
3475230|4
3378767|1
3379864|1
3372980|4
3356443|4
3855295|1
3855396|6
3855306|3
3855313|4
3855321|5
3855403|7
3843807|5
3843943|5
3843944|6
3840415|2
3845151|1
3838166|1
3838119|5
3838130|6
3838143|7
3960536|3
3960546|1
3960542|6
3906125|1
3892492|2
3897377|3
3893567|1
3882977|1
3883175|1
3894489|5
3775274|2
3768858|2
3781993|3
3769168|3
3788868|7
3803172|1
4190444|2
4171716|1
4171720|5
4171717|2
4171719|4
4086872|4
4165893|1
4084145|1
4176862|1
4159564|1
4149464|4
4096646|4
4160508|3
4160516|5
4160519|6
4160501|2
4298151|3
4346694|2
4344311|2
4289217|1
4304637|5
4290612|4
4290613|5
4313421|2
4309257|3
4345803|5
4345818|2
4223584|3
4224869|3
4265253|1
4265262|2
4265264|3
4205887|1
4192382|4
4078484|1
3982180|5
3982183|6
4078464|4
3982499|3
4047143|2
3991711|1
4902391|4
4919945|4
5098922|2
5098923|3
5098924|4
4935836|3
5598867|4
5585481|1
5585484|2
5440906|4
5199880|3
5231952|3
5291976|2
4675246|2
4662157|4
4675251|3
4626349|1
4837851|1
4838812|1
4656781|4
4648447|6
5925162|3
5959228|4
5886787|1
5923134|5
5924191|6
5847216|4
5831562|2
5819588|2
5820449|4
5829652|4
5829657|7
5829658|8
5829796|3
5763520|1
2870604|1
3193567|1
3248772|3
3243600|2
3246899|1
3246901|1
3246900|2
3235146|1
3146983|2
3164284|3
3391020|2
3431449|5
3431451|6
3431453|4
3431455|5
3431458|1
3441537|4
3740214|1
3589144|5
3600419|4
3600428|4
3446969|1
3468042|6
3457189|2
3489848|1
3462524|1
3498545|1
3372977|1
3372978|2
3372979|3
3369338|1
3356464|1
3855300|2
3843803|6
3843806|7
3843811|1
3843941|4
3843942|3
3875685|2
3875686|3
3830320|6
3876146|2
3838150|1
3838179|9
3854069|1
3950016|1
3906126|2
3887363|1
3884335|3
3883176|2
3893958|6
3894131|10
3769388|1
3782405|1
3782404|6
3782736|2
3773362|3
3783755|2
3788255|1
3803014|1
3803022|1
4165892|1
4160497|1
4328825|3
4289161|1
4289163|2
4289223|8
4290611|3
4290619|10
4345815|1
4223577|2
4275642|2
4275636|1
4256242|2
4265268|5
4262158|1
3982171|3
3982494|5
3985903|3
3982484|1
4919941|3
4919943|3
5098925|5
5066770|1
5095298|1
5582173|1
5598879|5
5321708|2
5651133|3
5314225|1
5260019|1
5138509|7
5195182|1
4675261|5
4675259|4
4673197|1
4838816|2
4648440|5
4648449|7
4670714|6
5988379|3
5969503|6
5960058|1
5932976|2
5924186|3
5776560|2
5832533|6
5663710|5
3259327|3
3441826|1
3431436|4
3431437|5
3441534|1
3589142|5
3589205|2
3589213|1
3600418|3
3600433|3
3493474|10
3821964|5
3841439|2
3927346|3
3768855|2
3758853|1
3782403|5
3779028|8
3803151|1
4171718|3
4084147|2
4085238|1
4160510|4
4287407|2
4287416|5
4289220|1
4289227|2
4344777|1
4345819|3
4342366|3
4223576|1
4227596|2
4204616|2
4192171|2
3981969|1
4078487|2
3982179|4
3988543|2
5098358|2
5098357|1
4942096|3
4919940|2
4919944|2
5065100|2
5434249|4
5206170|2
5195194|3
5291978|3
5291980|5
4647833|1
4442184|1
4670639|1
5910167|2
5960205|3
5924185|2
5924189|5
5776557|1
5832535|2
5799221|1
5732452|2
5755015|1
3247969|2
3136805|3
3390994|1
3740217|3
3589209|1
3589215|1
3465710|1
3329407|1
3356465|2
3843945|7
3875684|2
3962692|1
3977721|3
3883177|4
3894142|3
3769167|2
3803021|2
4160522|7
4328827|5
4289164|3
4289165|4
4289228|3
4344782|1
4290615|7
4290617|8
4345794|4
4345787|3
4345804|6
4265265|4
4195626|4
4207006|1
3982219|2
5070001|6
4919939|1
5130852|2
5598931|7
5599830|4
5440912|2
5289739|1
5194435|2
4838819|3
4648433|3
5909140|2
5909107|3
5951958|2
5932970|4
5923143|6
5924184|1
5924187|4
5686206|2
5843561|1
5799381|3
5829648|3
5704698|2
3431783|9
3740215|4
3589654|1
3600420|2
3460178|1
3481485|1
3481687|1
3845152|2
3884128|3
3893374|1
3794088|2
4085591|2
4165676|2
4084980|4
4328824|2
4306440|6
4287946|1
4290620|11
4313407|1
4253801|5
5089632|2
5098926|6
5071170|7
4905008|1
5585973|2
5582174|1
5598741|3
5199879|2
5199882|5
5199885|6
5231954|4
5954623|3
5909134|1
5830806|5
5732453|3
3497398|2
3477238|1
3498546|2
3840414|3
3769163|1
3782742|2
3808870|1
3788248|2
4096641|3
4289229|4
4290614|6
4290618|9
4078299|2
5098921|1
5068319|3
5199881|4
5195191|2
5291979|4
4670715|7
5921074|2
5830805|1
5824807|3
5819582|2
5820395|2
5820448|3
3740216|2
3926961|1
4176856|1
4328828|6
4306439|5
4290609|2
4309277|1
4313387|3
4253486|3
4192053|1
4192380|3
3985902|2
5130853|3
4940905|1
4648437|4
5910179|1
3441832|5
3475974|1
3363993|2
3769165|1
3782739|1
4328826|4
4278735|1
4227595|1
3985898|1
5136369|1
4670713|5
5951953|1
5663686|1
5832539|3
5832542|4
5820450|5
5704697|1
