1543470|Su Friedrich
5860547|Shôzô Makino
3946579|Marcus Dunstan
3829916|Marco Bellocchio
3898833|Denny Harris
5412383|Eric Brevig
4282326|Steno
2370304|Fritz Lang
3399282|Fernando Meirelles
964550|Pedro Almodóvar
3010067|Charlie Chaplin
5137622|Michelangelo Antonioni
5955556|Paul Feig
5181159|Dan Poole
5181159|Giles Terera
5206270|Robert Z. Leonard
2586766|William Friedkin
3146974|Jean-Paul Rappeneau
5768722|Geoff Murphy
3845208|Valerio Zurlini
3235076|Reginald Barker
3235076|Thomas H. Ince
3573858|Edward Bland
5087499|Berry Gordy
5087499|Tony Richardson
3379866|Charlie Chaplin
3329678|Mike Nichols
5196227|Katherine Dieckmann
3119433|Richard Glatzer
3119433|Wash Westmoreland
3006725|Victor Nunez
582011|Michael Cimino
3875768|Daisuke Nishio
1668867|Bruce Beresford
3377067|James Cameron
4300049|Hans Richter
5780429|Harmony Korine
5847988|Irwin Winkler
2529424|Shinya Tsukamoto
5841589|Quentin Tarantino
5776490|Michael Apted
2556837|Giuseppe Tornatore
768377|Joshua Logan
4279442|Geoffrey Smith
4348013|Michael Effenberger
3329546|Jerome Robbins
3329546|Robert Wise
3306179|Archie Mayo
5201076|Henry Hathaway
5201076|Howard Hawks
5201076|Henry King
5201076|Henry Koster
5201076|Jean Negulesco
4085031|Emilio Estevez
3415639|Woody Allen
4158844|Anthony Mann
4168788|Fazil
2066273|Pare Lorentz
3887361|Mabel Cheung
5473268|Alberto De Martino
4660228|Kim Longinotto
3818702|Julio Bracho
3501049|Kôhei Oguri
5908873|Nancy Savoca
5686508|Wes Anderson
3486367|Jason Miller
2171052|István Szabó
4326909|Rakesh Roshan
3587648|Michael Winterbottom
2039677|Masahiro Makino
481035|Claude Chabrol
2972434|Yves Simoneau
4208936|Jack Garfein
3440554|Luis Buñuel
3589722|Cassian Harrison
3589722|Tim Lambert
4158707|Luca Guadagnino
3243605|Paul Schrader
800032|George Stevens
3285234|Lucas Demare
4661555|Paolo Virzì
5069303|Joseph Losey
2050297|John Huston
4667224|Amanda Pope
4667224|Tchavdar Georgiev
4086045|F.W. Murnau
2300852|Jean Delannoy
3809428|Jerzy Stuhr
5086819|Richard Thorpe
3019356|Rainer Werner Fassbinder
2272400|Dung Gam-Woo
2272400|Lily Lau Lap-Lap
5805295|Linda Goldstein Knowlton
3773334|John Ford
5200248|Gus Van Sant
